org_code,risk_score,risk_category,pre_pandemic_recovery_rate,deprivation_decile,recovery_period_rate
99G,0.5666025841429643,Medium Risk,57.23076923076923,6.0,50.666666666666664
07H,0.46635658941886227,Medium Risk,48.0,3.0,48.733333333333334
99E,0.15468315407237115,Low Risk,50.38461538461539,4.0,54.06666666666667
02M,0.09528482232994977,Low Risk,50.0,6.0,51.733333333333334
15M,0.08182500747962328,Low Risk,47.15384615384615,5.0,50.93333333333333
01A,0.07652880242281478,Low Risk,51.76923076923077,9.0,56.266666666666666
00Y,0.07200893927732609,Low Risk,54.92307692307692,10.0,51.0
03W,0.06450756527621039,Low Risk,50.07692307692308,1.0,57.2
06N,0.06178870914470342,Low Risk,49.53846153846154,2.0,52.2
15C,0.05709262564769035,Low Risk,40.916666666666664,4.0,51.93333333333333
00N,0.055509110253997684,Low Risk,52.69230769230769,9.0,55.06666666666667
02G,0.0547591705025343,Low Risk,48.15384615384615,5.0,54.666666666666664
02A,0.05383784046239482,Low Risk,60.23076923076923,3.0,54.06666666666667
02H,0.04564228175589723,Low Risk,53.30769230769231,8.0,51.333333333333336
06K,0.04282902651483135,Low Risk,48.23076923076923,2.0,51.86666666666667
03Q,0.041794449916098875,Low Risk,51.0,2.0,54.13333333333333
01K,0.03915429661500943,Low Risk,54.92307692307692,6.0,55.86666666666667
10R,0.03553077455976539,Low Risk,56.61538461538461,8.0,57.06666666666667
04Y,0.03526556910058042,Low Risk,52.69230769230769,3.0,54.6
00Q,0.03274707833024779,Low Risk,48.30769230769231,10.0,55.0
00R,0.03274707833024779,Low Risk,49.0,10.0,53.2
05G,0.030478437145241438,Low Risk,57.07692307692308,4.0,56.733333333333334
15N,0.028556273777927563,Low Risk,41.61538461538461,5.0,52.86666666666667
01X,0.028109638556632007,Low Risk,40.38461538461539,10.0,51.2
07K,0.028093748827137555,Low Risk,54.46153846153846,2.0,52.46666666666667
00P,0.026671315593800746,Low Risk,51.61538461538461,9.0,58.13333333333333
02P,0.026671315593800746,Low Risk,52.38461538461539,9.0,51.333333333333336
00L,0.025769903083758098,Low Risk,56.84615384615385,6.0,51.46666666666667
03F,0.025666845608089003,Low Risk,57.30769230769231,10.0,55.53333333333333
04V,0.025209617839501618,Low Risk,47.23076923076923,1.0,53.733333333333334
11X,0.016370283411275225,Low Risk,57.69230769230769,5.0,58.86666666666667
02T,0.015113036948738336,Low Risk,57.15384615384615,8.0,53.86666666666667
02Y,0.014495849920894508,Low Risk,55.69230769230769,3.0,53.8
05Q,0.012136237683956386,Low Risk,55.61538461538461,3.0,55.333333333333336
15A,0.012097896153352031,Low Risk,55.23076923076923,1.0,51.6
99C,0.010949554691538979,Low Risk,53.76923076923077,6.0,57.46666666666667
99F,0.00729807665551597,Low Risk,57.15384615384615,2.0,52.13333333333333
05D,0.005631188062871448,Low Risk,61.38461538461539,3.0,54.333333333333336
05V,0.005492390721469229,Low Risk,51.84615384615385,2.0,53.86666666666667
14Y,0.005406854542703142,Low Risk,57.84615384615385,1.0,55.666666666666664
02Q,0.004032022896141435,Low Risk,54.30769230769231,6.0,54.86666666666667
05W,0.0037084022911147165,Low Risk,60.23076923076923,7.0,50.13333333333333
