period_start,analytical_period,measure_id,measure_name,measure_value
2021-05-01,recovery,M195,Percentage_ReliableRecovery,49.8
2021-06-01,recovery,M001,Count_ReferralsReceived,153472.0
2021-06-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,92.5
2021-06-01,recovery,M076,Count_FinishedCourseTreatment,58421.0
2021-06-01,recovery,M192,Percentage_Recovery,51.5
2021-06-01,recovery,M195,Percentage_ReliableRecovery,48.8
2021-07-01,recovery,M001,Count_ReferralsReceived,142485.0
2021-07-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,92.3
2021-07-01,recovery,M076,Count_FinishedCourseTreatment,58655.0
2021-07-01,recovery,M192,Percentage_Recovery,51.0
2021-07-01,recovery,M195,Percentage_ReliableRecovery,48.2
2021-08-01,recovery,M001,Count_ReferralsReceived,138078.0
2021-08-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,91.8
2021-08-01,recovery,M076,Count_FinishedCourseTreatment,54574.0
2021-08-01,recovery,M192,Percentage_Recovery,49.8
2021-08-01,recovery,M195,Percentage_ReliableRecovery,46.9
2021-09-01,recovery,M001,Count_ReferralsReceived,152957.0
2021-09-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,91.2
2021-09-01,recovery,M076,Count_FinishedCourseTreatment,56972.0
2021-09-01,recovery,M192,Percentage_Recovery,49.9
2021-09-01,recovery,M195,Percentage_ReliableRecovery,47.1
2021-10-01,recovery,M001,Count_ReferralsReceived,152003.0
2021-10-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,91.2
2021-10-01,recovery,M076,Count_FinishedCourseTreatment,53776.0
2021-10-01,recovery,M192,Percentage_Recovery,49.3
2021-10-01,recovery,M195,Percentage_ReliableRecovery,46.5
2021-11-01,recovery,M001,Count_ReferralsReceived,164363.0
2021-11-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,90.8
2021-11-01,recovery,M076,Count_FinishedCourseTreatment,57389.0
2021-11-01,recovery,M192,Percentage_Recovery,49.1
2021-11-01,recovery,M195,Percentage_ReliableRecovery,46.2
2021-12-01,recovery,M001,Count_ReferralsReceived,124856.0
2021-12-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,89.9
2021-12-01,recovery,M076,Count_FinishedCourseTreatment,49697.0
2021-12-01,recovery,M192,Percentage_Recovery,48.6
2021-12-01,recovery,M195,Percentage_ReliableRecovery,45.6
2022-01-01,recovery,M001,Count_ReferralsReceived,158475.0
2022-01-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,89.7
2022-01-01,recovery,M076,Count_FinishedCourseTreatment,52914.0
2022-01-01,recovery,M192,Percentage_Recovery,49.7
2022-01-01,recovery,M195,Percentage_ReliableRecovery,46.9
2022-02-01,recovery,M001,Count_ReferralsReceived,155502.0
2022-02-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,89.5
2022-02-01,recovery,M076,Count_FinishedCourseTreatment,50883.0
2022-02-01,recovery,M192,Percentage_Recovery,50.7
2022-02-01,recovery,M195,Percentage_ReliableRecovery,47.7
2022-03-01,recovery,M001,Count_ReferralsReceived,165631.0
2022-03-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,88.8
2022-03-01,recovery,M076,Count_FinishedCourseTreatment,59797.0
2022-03-01,recovery,M192,Percentage_Recovery,51.0
2022-03-01,recovery,M195,Percentage_ReliableRecovery,47.9
2022-04-01,recovery,M001,Count_ReferralsReceived,130064.0
2022-04-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,88.9
2022-04-01,recovery,M076,Count_FinishedCourseTreatment,52482.0
2022-04-01,recovery,M192,Percentage_Recovery,50.4
2022-04-01,recovery,M195,Percentage_ReliableRecovery,47.6
2022-05-01,recovery,M001,Count_ReferralsReceived,150082.0
2022-05-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,88.8
2022-05-01,recovery,M076,Count_FinishedCourseTreatment,58702.0
2022-05-01,recovery,M192,Percentage_Recovery,50.1
2022-05-01,recovery,M195,Percentage_ReliableRecovery,47.2
2022-06-01,recovery,M001,Count_ReferralsReceived,135381.0
2022-06-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,88.9
2022-06-01,recovery,M076,Count_FinishedCourseTreatment,56166.0
2022-06-01,recovery,M192,Percentage_Recovery,49.5
2022-06-01,recovery,M195,Percentage_ReliableRecovery,46.5
2022-07-01,recovery,M001,Count_ReferralsReceived,131766.0
2022-07-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,88.7
2022-07-01,recovery,M076,Count_FinishedCourseTreatment,57597.0
2022-07-01,recovery,M192,Percentage_Recovery,49.7
2022-07-01,recovery,M195,Percentage_ReliableRecovery,46.8
2022-08-01,recovery,M001,Count_ReferralsReceived,145149.0
2022-08-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,88.6
2022-08-01,recovery,M076,Count_FinishedCourseTreatment,59376.0
2022-08-01,recovery,M192,Percentage_Recovery,49.4
2022-08-01,recovery,M195,Percentage_ReliableRecovery,46.5
2022-09-01,recovery,M001,Count_ReferralsReceived,142241.0
2022-09-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,89.3
2022-09-01,recovery,M076,Count_FinishedCourseTreatment,57029.0
2022-09-01,recovery,M192,Percentage_Recovery,49.8
2022-09-01,recovery,M195,Percentage_ReliableRecovery,46.7
2022-10-01,recovery,M001,Count_ReferralsReceived,152267.0
2022-10-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,89.2
2022-10-01,recovery,M076,Count_FinishedCourseTreatment,54209.0
2022-10-01,recovery,M192,Percentage_Recovery,49.2
2022-10-01,recovery,M195,Percentage_ReliableRecovery,46.1
2022-11-01,recovery,M001,Count_ReferralsReceived,159131.0
2022-11-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,89.1
2022-11-01,recovery,M076,Count_FinishedCourseTreatment,59803.0
2022-11-01,recovery,M192,Percentage_Recovery,49.5
2022-11-01,recovery,M195,Percentage_ReliableRecovery,46.4
2022-12-01,recovery,M001,Count_ReferralsReceived,110131.0
2022-12-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,89.7
2022-12-01,recovery,M076,Count_FinishedCourseTreatment,48726.0
2022-12-01,recovery,M192,Percentage_Recovery,48.9
2022-12-01,recovery,M195,Percentage_ReliableRecovery,45.8
2023-01-01,recovery,M001,Count_ReferralsReceived,163719.0
2023-01-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,90.1
2023-01-01,recovery,M076,Count_FinishedCourseTreatment,56346.0
2023-01-01,recovery,M192,Percentage_Recovery,49.7
2023-01-01,recovery,M195,Percentage_ReliableRecovery,46.7
2023-02-01,recovery,M001,Count_ReferralsReceived,148669.0
2023-02-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,90.3
2023-02-01,recovery,M076,Count_FinishedCourseTreatment,52670.0
2023-02-01,recovery,M192,Percentage_Recovery,50.2
2023-02-01,recovery,M195,Percentage_ReliableRecovery,47.2
2023-03-01,recovery,M001,Count_ReferralsReceived,167407.0
2023-03-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,90.2
2023-03-01,recovery,M076,Count_FinishedCourseTreatment,60818.0
2023-03-01,recovery,M192,Percentage_Recovery,51.2
2023-03-01,recovery,M195,Percentage_ReliableRecovery,48.1
2023-04-01,recovery,M001,Count_ReferralsReceived,129753.0
2023-04-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,90.0
2023-04-01,recovery,M076,Count_FinishedCourseTreatment,49815.0
2023-04-01,recovery,M192,Percentage_Recovery,50.9
2023-04-01,recovery,M195,Percentage_ReliableRecovery,48.0
2023-05-01,recovery,M001,Count_ReferralsReceived,146659.0
2023-05-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,90.0
2023-05-01,recovery,M076,Count_FinishedCourseTreatment,57002.0
2023-05-01,recovery,M192,Percentage_Recovery,50.5
2023-05-01,recovery,M195,Percentage_ReliableRecovery,47.4
2023-06-01,recovery,M001,Count_ReferralsReceived,143475.0
2023-06-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,89.9
2023-06-01,recovery,M076,Count_FinishedCourseTreatment,59401.0
2023-06-01,recovery,M192,Percentage_Recovery,50.6
2023-06-01,recovery,M195,Percentage_ReliableRecovery,47.7
2023-07-01,recovery,M001,Count_ReferralsReceived,150292.0
2023-07-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,89.7
2023-07-01,recovery,M076,Count_FinishedCourseTreatment,56551.0
2023-07-01,recovery,M192,Percentage_Recovery,50.3
2023-07-01,recovery,M195,Percentage_ReliableRecovery,47.3
2023-08-01,recovery,M001,Count_ReferralsReceived,150330.0
2023-08-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,89.0
2023-08-01,recovery,M076,Count_FinishedCourseTreatment,58816.0
2023-08-01,recovery,M192,Percentage_Recovery,49.9
2023-08-01,recovery,M195,Percentage_ReliableRecovery,46.9
2023-09-01,recovery,M001,Count_ReferralsReceived,150878.0
2023-09-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,88.8
2023-09-01,recovery,M076,Count_FinishedCourseTreatment,56593.0
2023-09-01,recovery,M192,Percentage_Recovery,49.9
2023-09-01,recovery,M195,Percentage_ReliableRecovery,46.8
2023-10-01,recovery,M001,Count_ReferralsReceived,161313.0
2023-10-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,90.0
2023-10-01,recovery,M076,Count_FinishedCourseTreatment,57517.0
2023-10-01,recovery,M192,Percentage_Recovery,49.8
2023-10-01,recovery,M195,Percentage_ReliableRecovery,46.8
2023-11-01,recovery,M001,Count_ReferralsReceived,162250.0
2023-11-01,recovery,M053,Percentage_FirstTreatment6WeeksFinishedCourseTreatment,90.6
2023-11-01,recovery,M076,Count_FinishedCourseTreatment,59687.0
2023-11-01,recovery,M192,Percentage_Recovery,49.6
2023-11-01,recovery,M195,Percentage_ReliableRecovery,46.6
2023-12-01,recovery,M001,Count_ReferralsReceived,120561.0
