period_start,analytical_period,org_code,org_name,recovery_rate
2024-05-01,recovery,Y59,SOUTH EAST COMMISSIONING REGION,49.0
2024-05-01,recovery,Y60,MIDLANDS COMMISSIONING REGION,51.0
2024-05-01,recovery,Y61,EAST OF ENGLAND COMMISSIONING REGION,51.0
2024-05-01,recovery,Y62,NORTH WEST COMMISSIONING REGION,50.0
2024-05-01,recovery,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,53.0
2024-06-01,recovery,Y56,LONDON COMMISSIONING REGION,50.0
2024-06-01,recovery,Y58,SOUTH WEST COMMISSIONING REGION,52.0
2024-06-01,recovery,Y59,SOUTH EAST COMMISSIONING REGION,50.0
2024-06-01,recovery,Y60,MIDLANDS COMMISSIONING REGION,52.0
2024-06-01,recovery,Y61,EAST OF ENGLAND COMMISSIONING REGION,51.0
2024-06-01,recovery,Y62,NORTH WEST COMMISSIONING REGION,51.0
2024-06-01,recovery,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,51.0
2024-07-01,recovery,Y56,LONDON COMMISSIONING REGION,50.0
2024-07-01,recovery,Y58,SOUTH WEST COMMISSIONING REGION,51.0
2024-07-01,recovery,Y59,SOUTH EAST COMMISSIONING REGION,50.0
2024-07-01,recovery,Y60,MIDLANDS COMMISSIONING REGION,50.0
2024-07-01,recovery,Y61,EAST OF ENGLAND COMMISSIONING REGION,51.0
2024-07-01,recovery,Y62,NORTH WEST COMMISSIONING REGION,50.0
2024-07-01,recovery,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,50.0
2024-08-01,recovery,Y56,LONDON COMMISSIONING REGION,48.0
2024-08-01,recovery,Y58,SOUTH WEST COMMISSIONING REGION,51.0
2024-08-01,recovery,Y59,SOUTH EAST COMMISSIONING REGION,51.0
2024-08-01,recovery,Y60,MIDLANDS COMMISSIONING REGION,50.0
2024-08-01,recovery,Y61,EAST OF ENGLAND COMMISSIONING REGION,51.0
2024-08-01,recovery,Y62,NORTH WEST COMMISSIONING REGION,49.0
2024-08-01,recovery,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,51.0
2024-09-01,recovery,Y56,LONDON COMMISSIONING REGION,50.0
2024-09-01,recovery,Y58,SOUTH WEST COMMISSIONING REGION,50.0
